"decada","nome","total_nomes","rank"
"1950","James","845821","1"
"1950","Michael","839312","2"
"1950","Robert","832110","3"
"1960","Michael","837068","1"
"1960","David","736709","2"
"1960","John","716364","3"
"1970","Michael","712793","1"
"1970","Jennifer","583688","2"
"1970","Christopher","478445","3"
"1980","Michael","668724","1"
"1980","Christopher","558407","2"
"1980","Jessica","471446","3"
"1990","Michael","464210","1"
"1990","Christopher","361223","2"
"1990","Matthew","352315","3"
"2000","Jacob","274165","1"
"2000","Michael","251189","2"
"2000","Joshua","232246","3"
"2010","Sophia","104441","1"
"2010","Emma","98776","2"
"2010","Isabella","96445","3"
